id,name,description,external_url,background_color,body,background,clothes_org,eyes,face,mouth_org,hat_org,special_org,clothes,hat,mouth,special
35,AstarCat#0035,AstarCats info,https://astar-cats.xyz/,FFFFFF,Robot White,Pink,Cloud T-shirt Orange,Sunglasses,Robot White,Huh,Party Blue,None,None,Party Blue,Huh,None
36,AstarCat#0036,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Orange,Shirt Beige,Cry,Pink,Bitter Smile,Sheep,Shuriken,Shirt Beige,Sheep,Bitter Smile,Shuriken
37,AstarCat#0037,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Orange,Kindergarten Uniform Pink,Embarrassed,Pink,Teeth,Wizard,None,Kindergarten Uniform Pink,Wizard,Teeth,None
38,AstarCat#0038,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Yellow,Kimono Pink,Cry,Pink,Yammy,Crown,None,Kimono Pink,Crown,Yammy,None
39,AstarCat#0039,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Dark,Striped Shirt Blue,XX,Yellow,Squiggle,HeadBand Green,Duck,Striped Shirt Blue,HeadBand Green,Squiggle,Duck
40,AstarCat#0040,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Heart,Space Suit,Sleepy,Pink,Neutral,Silk Hat White,None,Space Suit,Silk Hat White,Neutral,None
41,AstarCat#0041,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Flower,Track Suit Blue,XX,Pink,Smile,Ribbon Yellow,None,Track Suit Blue,Ribbon Yellow,Smile,None
42,AstarCat#0042,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Yellow,Checked Shirt Orange,Tired,Pink,Neutral,Knitted Hat Purple,None,Checked Shirt Orange,Knitted Hat Purple,Neutral,None
43,AstarCat#0043,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Pink,Heart T-shirt Red,Sunglasses,Blue,Uhh,Silk Hat White,None,Heart T-shirt Red,Silk Hat White,Uhh,None
44,AstarCat#0044,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Dark,Float Pink,Sparkle,Blue,Yammy,Snot Bubble,None,Float Pink,Snot Bubble,Yammy,Float Pink
45,AstarCat#0045,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Orange,Flower T-shirt Purple,Embarrassed,Zombie,Neutral,Cat,Rabbit,Flower T-shirt Purple,Cat,Neutral,Rabbit
46,AstarCat#0046,AstarCats info,https://astar-cats.xyz/,FFFFFF,Meatbun,Pink,Dot T-shirt Green,Sparkle,Meatbun,Smile,Flower,None,Dot T-shirt Green,Flower,Smile,None
47,AstarCat#0047,AstarCats info,https://astar-cats.xyz/,FFFFFF,Transparent,Yellow,None,Wink,Transparent,Uhh,Nightcap Orange,Duck,None,Nightcap Orange,Uhh,Duck
48,AstarCat#0048,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Rain,Dot T-shirt Orange,Sleepy,Blue,Smile,HeadBand Blue,None,Dot T-shirt Orange,HeadBand Blue,Smile,None
49,AstarCat#0049,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Blue,Overall Beige,Cry,Pink,Yay,Flower,Angel Blue,Overall Beige,Flower,Yay,Angel Blue
50,AstarCat#0050,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Blue,Dot T-shirt Green,Sunglasses,Yellow,UWU,Snot Bubble,Rabbit,Dot T-shirt Green,Snot Bubble,UWU,Rabbit
51,AstarCat#0051,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Yellow,Flower T-shirt Purple,Hearts,Yellow,Tongue,Bandage,Shuriken,Flower T-shirt Purple,Bandage,Tongue,Shuriken
52,AstarCat#0052,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Purple,Flower T-shirt Blue,Sleepy,Blue,Frown,Sauna Hat Gray,None,Flower T-shirt Blue,Sauna Hat Gray,Frown,None
53,AstarCat#0053,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Yellow,Hoodie Yellow,Happy,Yellow,Surprised,Snot Bubble,Ghost,Hoodie Yellow,Snot Bubble,Surprised,Ghost
54,AstarCat#0054,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Heart,Heart T-shirt Blue,XX,Blue,Yay,Beret Blue,None,Heart T-shirt Blue,Beret Blue,Yay,None
55,AstarCat#0055,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Yellow,Dot T-shirt Blue,Neutral,Yellow,Huh,Silk Hat Navy,None,Dot T-shirt Blue,Silk Hat Navy,Huh,None
56,AstarCat#0056,AstarCats info,https://astar-cats.xyz/,FFFFFF,Transparent,Heart,Shirt Pink,Cry,Transparent,Frown,Cap Blue,None,Shirt Pink,Cap Blue,Frown,None
57,AstarCat#0057,AstarCats info,https://astar-cats.xyz/,FFFFFF,Robot Blue,Green,Flower T-shirt Green,Sparkle,Robot Blue,Yammy,HeadBand Green,Froggy,None,HeadBand Green,Yammy,Froggy
58,AstarCat#0058,AstarCats info,https://astar-cats.xyz/,FFFFFF,Transparent,Yellow,Sailor Suit Purple,Angry,Transparent,UWU,Knitted Hat Red,None,Sailor Suit Purple,Knitted Hat Red,UWU,None
59,AstarCat#0059,AstarCats info,https://astar-cats.xyz/,FFFFFF,Robot White,Green,Cloud T-shirt Blue,Heart Glasses,Robot White,Squiggle,HeadBand Blue,Fish,None,HeadBand Blue,Squiggle,Fish
60,AstarCat#0060,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Purple,Checked Shirt Pink,Sunglasses,Blue,Frown,Silk Hat Navy,Duck,Checked Shirt Pink,Silk Hat Navy,Frown,Duck
61,AstarCat#0061,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Snow,None,Cry,Yellow,Uhh,Party Yellow,None,None,Party Yellow,Uhh,None
62,AstarCat#0062,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Pink,Flower T-shirt Pink,Sunglasses,Yellow,UWU,Apple,None,Flower T-shirt Pink,Apple,UWU,None
63,AstarCat#0063,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Sparkle,Heart T-shirt Red,Neutral,Blue,Yay,Beret Red,Rocket,Heart T-shirt Red,Beret Red,Yay,Rocket
64,AstarCat#0064,AstarCats info,https://astar-cats.xyz/,FFFFFF,Meatbun,Yellow,Flower T-shirt Purple,Wink,Meatbun,Smoking,Party Yellow,Coin,Flower T-shirt Purple,Party Yellow,Smoking,Smoking
65,AstarCat#0065,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Heart,Flower T-shirt Blue,Dozing,Pink,Teeth,Beret Red,None,Flower T-shirt Blue,Beret Red,Teeth,None
66,AstarCat#0066,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Purple,Sweater Green,Dozing,Pink,Teeth,Knitted Hat Blue,None,Sweater Green,Knitted Hat Blue,Teeth,None
67,AstarCat#0067,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Orange,Shirt Beige,Tired,Pink,Yay,Party Yellow,Ghost,Shirt Beige,Party Yellow,Yay,Ghost
68,AstarCat#0068,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Orange,Uniform Red,Dozing,Pink,Smirk,Party Yellow,None,Uniform Red,Party Yellow,Smirk,None
69,AstarCat#0069,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Neon,Sweater Green,Sunglasses,Blue,Uhh,Cap Red,None,Sweater Green,Cap Red,Uhh,None
70,AstarCat#0070,AstarCats info,https://astar-cats.xyz/,FFFFFF,Transparent,Pink,Cat Costume,Sunglasses,Transparent,Smile,HeadBand Blue,None,Cat Costume,HeadBand Blue,Smile,None
71,AstarCat#0071,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Flower,Scarf Blue,Embarrassed,Blue,Smirk,Beret Blue,None,Scarf Blue,Beret Blue,Smirk,None
72,AstarCat#0072,AstarCats info,https://astar-cats.xyz/,FFFFFF,Meatbun,Dark,Checked Shirt Pink,Dozing,Meatbun,Bitter Smile,Eyepatch,None,Checked Shirt Pink,Eyepatch,Bitter Smile,None
73,AstarCat#0073,AstarCats info,https://astar-cats.xyz/,FFFFFF,Meatbun,Mountain,Float Pink,Staring,Meatbun,Smoking,Ghost,None,Float Pink,Ghost,Smoking,Float Pink
74,AstarCat#0074,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Yellow,None,Neutral,Yellow,Uhh,HeadBand Red,None,None,HeadBand Red,Uhh,None
75,AstarCat#0075,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Yellow,Striped Shirt Gray,Embarrassed,Yellow,Bitter Smile,Flower,None,Striped Shirt Gray,Flower,Bitter Smile,None
76,AstarCat#0076,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Pink,Shirt Pink,XX,Yellow,Squiggle,HeadBand Green,Rocket,Shirt Pink,HeadBand Green,Squiggle,Rocket
77,AstarCat#0077,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Pink,Uniform Red,Round Glasses,Yellow,Bitter Smile,Sushi Egg,None,Uniform Red,Sushi Egg,Bitter Smile,None
78,AstarCat#0078,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Mountain,Dot T-shirt Green,Heart Glasses,Pink,Yay,Sprout,Rabbit,Dot T-shirt Green,Sprout,Yay,Rabbit
79,AstarCat#0079,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Sunset,Cloud T-shirt Pink,Wink,Yellow,Yammy,Cherry,Duck,Cloud T-shirt Pink,Cherry,Yammy,Duck
80,AstarCat#0080,AstarCats info,https://astar-cats.xyz/,FFFFFF,Transparent,Rain,Kindergarten Uniform Pink,Sunglasses,Transparent,Yay,Beret Green,Froggy,Kindergarten Uniform Pink,Beret Green,Yay,Froggy
81,AstarCat#0081,AstarCats info,https://astar-cats.xyz/,FFFFFF,Gold,Heart,Flower T-shirt Blue,Smirk,Gold,Smirk,Pancake,None,Flower T-shirt Blue,Pancake,Smirk,None
82,AstarCat#0082,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Yellow,Flower T-shirt Pink,Sleepy,Yellow,Squiggle,Nightcap Purple,None,Flower T-shirt Pink,Nightcap Purple,Squiggle,None
83,AstarCat#0083,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Blue,Heart T-shirt Green,Wink,Pink,Happy,Nightcap Purple,None,Heart T-shirt Green,Nightcap Purple,Happy,None
84,AstarCat#0084,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Orange,Flower T-shirt Pink,Embarrassed,Pink,Huh,Sauna Hat Yellow,None,Flower T-shirt Pink,Sauna Hat Yellow,Huh,None
85,AstarCat#0085,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Green,Striped Shirt Purple,Heart Glasses,Yellow,Smoking,Party Pink,None,Striped Shirt Purple,Party Pink,Smoking,Smoking
86,AstarCat#0086,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Purple,Sailor Suit Pink,Hearts,Yellow,Frown,Cap Blue,Ghost,Sailor Suit Pink,Cap Blue,Frown,Ghost
87,AstarCat#0087,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Green,Flower T-shirt Green,Sparkle,Yellow,Bitter Smile,Ribbon Blue,Froggy,Flower T-shirt Green,Ribbon Blue,Bitter Smile,Froggy
88,AstarCat#0088,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Clouds,Hoodie Red,Tired,Blue,Smile,Beret Blue,None,Hoodie Red,Beret Blue,Smile,None
89,AstarCat#0089,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Yellow,Shirt Blue,Sunglasses,Pink,Huh,Pirate,Rocket,Shirt Blue,Pirate,Huh,Rocket
90,AstarCat#0090,AstarCats info,https://astar-cats.xyz/,FFFFFF,Transparent,Flower,Heart T-shirt Red,Sleepy,Transparent,Smile,Chef,None,Heart T-shirt Red,Chef,Smile,None
91,AstarCat#0091,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Snow,Hoodie Blue,Dozing,Blue,Yammy,Silk Hat White,None,Hoodie Blue,Silk Hat White,Yammy,None
92,AstarCat#0092,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Purple,Flower T-shirt Blue,Dozing,Pink,Smoking,Cap Yellow,Duck,Flower T-shirt Blue,Cap Yellow,Smoking,Smoking
93,AstarCat#0093,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Green,Track Suit Red,Dozing,Blue,Surprised,Cap Yellow,None,Track Suit Red,Cap Yellow,Surprised,None
94,AstarCat#0094,AstarCats info,https://astar-cats.xyz/,FFFFFF,Transparent,Green,Flower T-shirt Green,Smirk,Transparent,Squiggle,Halo,None,Flower T-shirt Green,Halo,Squiggle,None
95,AstarCat#0095,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Blue,Mummy,Third Eye,Zombie,Chewing Gum,Sushi Egg,None,Mummy,Sushi Egg,Chewing Gum,None
96,AstarCat#0096,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Blue,Hoodie Yellow,Round Glasses,Pink,Surprised,HeadBand Blue,None,Hoodie Yellow,HeadBand Blue,Surprised,None
97,AstarCat#0097,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Blue,Striped Shirt Yellow,Angry,Pink,Beam Chum,Knitted Hat Purple,None,Striped Shirt Yellow,Knitted Hat Purple,Beam Chum,None
98,AstarCat#0098,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Pink,Overall Beige,Sleepy,Blue,Smirk,None,Shuriken,Overall Beige,None,Smirk,Shuriken
99,AstarCat#0099,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Dot,Hoodie Yellow,Sunglasses,Blue,Squiggle,HeadBand Red,None,Hoodie Yellow,HeadBand Red,Squiggle,None
100,AstarCat#0100,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Flower,Heart T-shirt Blue,Laser Beam,Zombie,Chewing Gum,Sprout,None,Heart T-shirt Blue,Sprout,Chewing Gum,Laser Beam
101,AstarCat#0101,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Orange,Flower T-shirt Purple,Happy,Blue,Surprised,Sprout,Fish,Flower T-shirt Purple,Sprout,Surprised,Fish
102,AstarCat#0102,AstarCats info,https://astar-cats.xyz/,FFFFFF,Robot White,Purple,None,Embarrassed,Robot White,Surprised,Chef,None,None,Chef,Surprised,None
103,AstarCat#0103,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Pink,Flower T-shirt Green,Cry,Pink,Smirk,Bunny Hairband,Rabbit,Flower T-shirt Green,Bunny Hairband,Smirk,Rabbit
104,AstarCat#0104,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Heart,Scarf Yellow,Cry,Zombie,Surprised,Party Yellow,None,Scarf Yellow,Party Yellow,Surprised,None
105,AstarCat#0105,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Orange,Overall Blue,Tired,Pink,Surprised,Unicorn,None,Overall Blue,Unicorn,Surprised,None
106,AstarCat#0106,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Pink,Ghost,Neutral,Pink,Happy,Beret Blue,Ghost,Ghost,Beret Blue,Happy,Ghost
107,AstarCat#0107,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Pink,Track Suit Red,Sunglasses,Blue,Uhh,HeadBand Green,None,Track Suit Red,HeadBand Green,Uhh,None
108,AstarCat#0108,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Yellow,Striped Shirt Blue,Squint,Blue,Neutral,Fire,Rabbit,Striped Shirt Blue,Fire,Neutral,Rabbit
109,AstarCat#0109,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Green,Hoodie Orange,Dozing,Blue,Bitter Smile,Cap Blue,None,Hoodie Orange,Cap Blue,Bitter Smile,None
110,AstarCat#0110,AstarCats info,https://astar-cats.xyz/,FFFFFF,Meatbun,Sunset,Uniform Orange,Squint,Meatbun,Smirk,Cherry,None,Uniform Orange,Cherry,Smirk,None
111,AstarCat#0111,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Rain,Flower T-shirt Blue,Cry,Blue,Huh,Shark,None,Flower T-shirt Blue,Shark,Huh,None
112,AstarCat#0112,AstarCats info,https://astar-cats.xyz/,FFFFFF,Robot Blue,Purple,Checked Shirt Pink,Sunglasses,Robot Blue,Huh,Sushi Egg,None,None,Sushi Egg,Huh,None
113,AstarCat#0113,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Pink,Cloud T-shirt Purple,Angry,Blue,UWU,Wizard,Froggy,Cloud T-shirt Purple,Wizard,UWU,Froggy
114,AstarCat#0114,AstarCats info,https://astar-cats.xyz/,FFFFFF,Transparent,Purple,Shirt White,Hearts,Transparent,Smirk,Knitted Hat Purple,None,Shirt White,Knitted Hat Purple,Smirk,None
115,AstarCat#0115,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Dark,Cloud T-shirt Pink,Cry,Yellow,Frown,Bandage,None,Cloud T-shirt Pink,Bandage,Frown,None
116,AstarCat#0116,AstarCats info,https://astar-cats.xyz/,FFFFFF,Gold,Snow,Hoodie Yellow,Squint,Gold,Smoking,Knitted Hat Blue,Ghost,Hoodie Yellow,Knitted Hat Blue,Smoking,Smoking
117,AstarCat#0117,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Purple,Flower T-shirt Orange,Sunglasses,Blue,Yay,Apricot Flower,None,Flower T-shirt Orange,Apricot Flower,Yay,None
118,AstarCat#0118,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Purple,Flower T-shirt Pink,Angry,Yellow,Smirk,Apple,None,Flower T-shirt Pink,Apple,Smirk,None
119,AstarCat#0119,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Flower,Dot T-shirt Blue,Neutral,Blue,Tongue,Cap Yellow,None,Dot T-shirt Blue,Cap Yellow,Tongue,None
120,AstarCat#0120,AstarCats info,https://astar-cats.xyz/,FFFFFF,Transparent,Sparkle,Shirt Pink,Heart Glasses,Transparent,Smoking,Cake,Mouse,Shirt Pink,Cake,Smoking,Smoking
121,AstarCat#0121,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Flower,Hoodie Red,Staring,Yellow,Frown,Knitted Hat Red,None,Hoodie Red,Knitted Hat Red,Frown,None
122,AstarCat#0122,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Green,Track Suit Red,XX,Zombie,Chewing Gum,Apple,None,Track Suit Red,Apple,Chewing Gum,None
123,AstarCat#0123,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Purple,Track Suit Blue,Happy,Pink,Bitter Smile,HeadBand Blue,None,Track Suit Blue,HeadBand Blue,Bitter Smile,None
124,AstarCat#0124,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Blue,Cloud T-shirt Blue,Cry,Zombie,Bitter Smile,Cat,None,Cloud T-shirt Blue,Cat,Bitter Smile,None
125,AstarCat#0125,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Yellow,Suit Pink,Cry,Pink,Squiggle,Bear,None,Suit Pink,Bear,Squiggle,None
126,AstarCat#0126,AstarCats info,https://astar-cats.xyz/,FFFFFF,Pink,Pink,Cloud T-shirt Blue,Happy,Pink,Chewing Gum,HeadBand Red,None,Cloud T-shirt Blue,HeadBand Red,Chewing Gum,None
127,AstarCat#0127,AstarCats info,https://astar-cats.xyz/,FFFFFF,Zombie,Orange,Checked Shirt Pink,Hero Mask,Zombie,Yay,Crown,Froggy,Checked Shirt Pink,Crown,Yay,Froggy
128,AstarCat#0128,AstarCats info,https://astar-cats.xyz/,FFFFFF,Yellow,Rainbow,Dot T-shirt Blue,Hearts,Yellow,Mustache,Headdress,Fish,Dot T-shirt Blue,Headdress,Mustache,Fish
129,AstarCat#0129,AstarCats info,https://astar-cats.xyz/,FFFFFF,Blue,Sparkle,Flower T-shirt Purple,Smirk,Blue,Happy,Earrings,Rabbit,Flower T-shirt Purple,Earrings,Happy,Rabbit
